claim_id,policy_number,claimant_id,claimant_name,claim_type,estimated_damage,amount_paid,claim_date,incident_date,settlement_date,status,location,state,description,police_report,photos_provided,witness_statements,vehicle_vin,vehicle_make,vehicle_model,vehicle_year,license_plate,fraud_flag
CLM-2026-000014,POL-2020-142,CLM-563,Sandra Lewis,Major Collision,31302.91,,2023-07-21,2023-07-20,,UNDER_REVIEW,"OK City, OK",OK,Major Collision incident reported at OK City. Single vehicle incident.,False,True,2,NP2DHD6DWKNVSC0BR,Ford,Escape,2021.0,WYK865,False
CLM-2026-000015,POL-2025-170,CLM-450,John Brown,Comprehensive,5373.88,,2024-07-02,2024-06-26,,DENIED,"MN City, MN",MN,Comprehensive incident reported at MN City. Minor damage reported.,True,True,3,,,,,,False
CLM-2026-000016,POL-2021-477,CLM-1545,Robert Sanchez,Hail Damage,3133.35,2311.99,2025-11-06,2025-11-03,2025-11-15,APPROVED,"AL City, AL",AL,Hail Damage incident reported at AL City. Single vehicle incident.,False,True,1,,,,,,False
CLM-2026-000017,POL-2020-444,CLM-1355,Michael Wilson,Property Theft,1366.91,,2023-12-10,2023-12-09,,DENIED,"WA City, WA",WA,Property Theft incident reported at WA City. Multiple vehicles involved.,True,True,0,,,,,,False
CLM-2026-000018,POL-2025-488,CLM-1803,Christopher Lee,Auto Accident,8757.97,7198.42,2024-06-27,2024-06-19,2024-07-28,APPROVED,"WA City, WA",WA,Auto Accident incident reported at WA City. Weather-related incident.,True,True,2,37NAKFHERAP88363H,Nissan,Pathfinder,2015.0,TEF595,False
CLM-2026-000019,POL-2020-998,CLM-580,Sandra Thompson,Property Theft,6203.8,4368.99,2025-06-27,2025-06-14,2025-08-02,APPROVED,"OK City, OK",OK,Property Theft incident reported at OK City. Weather-related incident.,True,True,1,,,,,,False
CLM-2026-000020,POL-2022-583,CLM-463,Anthony Harris,Water Damage,13299.42,,2023-02-06,2023-01-31,,DENIED,"MN City, MN",MN,Water Damage incident reported at MN City. Weather-related incident.,True,False,1,,,,,,False
CLM-2026-000021,POL-2022-450,CLM-461,Elizabeth Anderson,Auto Accident,3669.87,3441.56,2025-03-20,2025-03-06,2025-04-14,APPROVED,"IN City, IN",IN,Auto Accident incident reported at IN City. Single vehicle incident.,True,True,3,PYGG21EA83YUJYZN8,Toyota,Highlander,2019.0,BTM767,False
CLM-2026-000022,POL-2022-422,CLM-1301,Charles Johnson,Comprehensive,5332.97,,2023-04-05,2023-04-04,,DENIED,"MD City, MD",MD,Comprehensive incident reported at MD City. Parking lot incident.,True,True,0,,,,,,False
CLM-2026-000023,POL-2023-970,CLM-1247,Richard Brown,Auto Collision,14701.78,10702.35,2024-09-13,2024-09-02,2024-11-29,APPROVED,"UT City, UT",UT,Auto Collision incident reported at UT City. Significant damage to vehicle.,True,False,1,X9PDFFF46KR42SVBS,Toyota,Corolla,2022.0,GAS957,False
CLM-2026-000024,POL-2021-586,CLM-915,Charles Davis,Comprehensive,7102.5,5657.38,2023-04-25,2023-04-20,2023-07-10,APPROVED,"Allentown, PA",PA,Comprehensive incident reported at Allentown. Weather-related incident.,True,True,0,,,,,,False
CLM-2026-000025,POL-2025-909,CLM-1419,Margaret Sanchez,Medical,50739.63,43640.48,2023-10-24,2023-10-14,2023-12-12,APPROVED,"CT City, CT",CT,Medical incident reported at CT City. Weather-related incident.,True,True,2,,,,,,False
CLM-2026-000026,POL-2023-923,CLM-1400,Nancy Martin,Major Collision,42668.99,33119.38,2024-09-06,2024-08-30,2024-10-01,CLOSED,"AL City, AL",AL,Major Collision incident reported at AL City. Single vehicle incident.,False,True,1,2YZ9YNF9ZV3CB9P0U,Volkswagen,Atlas,2017.0,KAW896,False
CLM-2026-000027,POL-2025-786,CLM-1706,William Martin,Liability,38470.49,34276.64,2024-06-10,2024-05-29,2024-09-02,SETTLED,"SC City, SC",SC,Liability incident reported at SC City. Significant damage to vehicle.,False,True,0,,,,,,False
CLM-2026-000028,POL-2022-689,CLM-1762,Susan Moore,Auto Accident,24139.1,16998.17,2023-10-28,2023-10-15,2023-12-20,SETTLED,"AZ City, AZ",AZ,Auto Accident incident reported at AZ City. Parking lot incident.,True,True,3,UY370WJX72UX9D4YA,Volkswagen,Atlas,2021.0,MCX238,False
CLM-2026-000029,POL-2024-418,CLM-1938,Anthony Sanchez,Auto Theft,35989.48,,2023-09-09,2023-08-31,,UNDER_REVIEW,"MA City, MA",MA,Auto Theft incident reported at MA City. Significant damage to vehicle.,True,True,2,7E7BZCWM19YYU36MZ,Volkswagen,Golf,2020.0,BIZ905,False
CLM-2026-000030,POL-2021-554,CLM-1201,Patricia Thompson,Liability,19017.65,18450.15,2024-11-02,2024-10-20,2024-12-21,CLOSED,"WA City, WA",WA,Liability incident reported at WA City. Single vehicle incident.,True,True,0,,,,,,True
CLM-2026-000031,POL-2022-623,CLM-1736,David Martinez,Water Damage,29071.25,,2023-10-12,2023-10-06,,UNDER_REVIEW,"Greensboro, NC",NC,Water Damage incident reported at Greensboro. Significant damage to vehicle.,True,True,0,,,,,,False
CLM-2026-000032,POL-2024-062,CLM-1407,William Smith,Auto Accident,14092.54,13012.72,2023-05-11,2023-05-10,2023-05-28,APPROVED,"UT City, UT",UT,Auto Accident incident reported at UT City. Parking lot incident.,True,True,1,A4BMRVPYKBK7M73UC,Kia,Telluride,2023.0,TOU965,False
CLM-2026-000033,POL-2022-007,CLM-1317,Elizabeth White,Auto Collision,6149.57,5601.09,2025-11-22,2025-11-13,2026-01-02,CLOSED,"Dallas, TX",TX,Auto Collision incident reported at Dallas. Minor damage reported.,True,True,2,M2RZ3HCE5AAYKW5R1,Ford,Escape,2024.0,CLL721,False
CLM-2026-000034,POL-2020-008,CLM-707,Sarah White,Water Damage,22023.5,17454.19,2023-08-10,2023-08-09,2023-10-31,APPROVED,"Cleveland, OH",OH,Water Damage incident reported at Cleveland. Multiple vehicles involved.,True,True,0,,,,,,False
CLM-2026-000035,POL-2023-604,CLM-352,Daniel White,Property Theft,3555.77,,2023-06-21,2023-06-08,,UNDER_REVIEW,"AZ City, AZ",AZ,Property Theft incident reported at AZ City. Weather-related incident.,True,True,1,,,,,,False
CLM-2026-000036,POL-2024-058,CLM-920,Elizabeth Ramirez,Auto Theft,20391.7,17142.82,2024-03-28,2024-03-15,2024-05-14,CLOSED,"IN City, IN",IN,Auto Theft incident reported at IN City. Minor damage reported.,False,False,3,AE1U2VVLGFJTWETMA,BMW,M3,2016.0,MDB205,False
CLM-2026-000037,POL-2023-419,CLM-1034,Joseph Clark,Water Damage,21914.61,19349.32,2025-01-17,2025-01-17,2025-03-21,APPROVED,"MA City, MA",MA,Water Damage incident reported at MA City. Parking lot incident.,True,True,0,,,,,,False
CLM-2026-000038,POL-2021-974,CLM-1698,Sandra Johnson,Comprehensive,7873.08,,2023-01-24,2023-01-23,,PENDING,"UT City, UT",UT,Comprehensive incident reported at UT City. Multiple vehicles involved.,True,True,1,,,,,,True
CLM-2026-000039,POL-2022-695,CLM-1541,Jessica Lewis,Property Damage,48383.04,,2023-07-04,2023-07-01,,PENDING,"Cincinnati, OH",OH,Property Damage incident reported at Cincinnati. Multiple vehicles involved.,False,True,1,,,,,,False
CLM-2026-000040,POL-2022-954,CLM-1906,Barbara Wilson,Property Theft,7837.56,7824.69,2025-11-18,2025-11-12,2026-01-28,APPROVED,"Rochester, NY",NY,Property Theft incident reported at Rochester. Weather-related incident.,True,False,1,,,,,,False
CLM-2026-000041,POL-2021-681,CLM-034,Patricia Jackson,Property Damage,23174.23,20496.28,2023-02-24,2023-02-15,2023-03-21,APPROVED,"San Diego, CA",CA,Property Damage incident reported at San Diego. Parking lot incident.,True,False,1,,,,,,False
CLM-2026-000042,POL-2022-956,CLM-981,Susan Garcia,Auto Collision,8749.18,6239.41,2025-01-09,2024-12-28,2025-03-15,APPROVED,"Akron, OH",OH,Auto Collision incident reported at Akron. Significant damage to vehicle.,True,True,1,ZH8R6BSVA4CWRWCZG,Volkswagen,Atlas,2021.0,MYN920,False
CLM-2026-000043,POL-2025-455,CLM-1118,Thomas Thomas,Vandalism,3308.58,2758.61,2024-05-19,2024-05-14,2024-07-06,APPROVED,"Savannah, GA",GA,Vandalism incident reported at Savannah. Multiple vehicles involved.,True,True,1,,,,,,False
CLM-2026-000044,POL-2020-754,CLM-762,David Perez,Fire Damage,79720.49,63323.23,2023-07-23,2023-07-11,2023-08-16,APPROVED,"AL City, AL",AL,Fire Damage incident reported at AL City. Parking lot incident.,True,True,0,,,,,,False
CLM-2026-000045,POL-2020-370,CLM-1900,Karen Clark,Auto Accident,29583.71,27738.27,2025-01-26,2025-01-14,2025-03-02,APPROVED,"AZ City, AZ",AZ,Auto Accident incident reported at AZ City. Minor damage reported.,False,True,3,FZ4W2DPFDDJ4A2FH4,Hyundai,Kona,2020.0,VOP886,False
CLM-2026-000046,POL-2022-867,CLM-1703,Anthony Miller,Auto Theft,16293.13,14872.36,2025-05-04,2025-04-26,2025-06-01,APPROVED,"Detroit, MI",MI,Auto Theft incident reported at Detroit. Parking lot incident.,True,True,0,LJ49HG5Y5MPKUJU01,Toyota,RAV4,2018.0,QOQ885,False
CLM-2026-000047,POL-2025-062,CLM-1118,Thomas Thomas,Major Collision,63281.29,57301.03,2024-06-01,2024-05-22,2024-08-08,CLOSED,"Savannah, GA",GA,Major Collision incident reported at Savannah. Parking lot incident.,False,False,3,F6LAPRVZ4CJAF8839,Ford,Mustang,2021.0,JPG986,False
CLM-2026-000048,POL-2024-469,CLM-641,Jessica Martinez,Water Damage,20952.87,16606.45,2024-12-25,2024-12-13,2025-03-07,APPROVED,"Buffalo, NY",NY,Water Damage incident reported at Buffalo. Significant damage to vehicle.,False,True,1,,,,,,True
CLM-2026-000049,POL-2023-513,CLM-1997,Patricia Smith,Fire Damage,188400.23,174550.84,2025-06-27,2025-06-21,2025-08-16,APPROVED,"VA City, VA",VA,Fire Damage incident reported at VA City. Parking lot incident.,True,True,2,,,,,,False
CLM-2026-000050,POL-2021-739,CLM-1289,Charles Lopez,Vandalism,7937.59,,2025-11-21,2025-11-12,,DENIED,"Tampa, FL",FL,Vandalism incident reported at Tampa. Single vehicle incident.,True,False,1,,,,,,False
CLM-2026-000051,POL-2025-271,CLM-643,William Thomas,Fire Damage,77314.53,72025.98,2025-01-23,2025-01-16,2025-03-14,CLOSED,"AL City, AL",AL,Fire Damage incident reported at AL City. Multiple vehicles involved.,True,True,2,,,,,,False
CLM-2026-000052,POL-2022-141,CLM-1893,Christopher Clark,Major Collision,27124.08,23369.39,2023-07-25,2023-07-15,2023-10-01,APPROVED,"Houston, TX",TX,Major Collision incident reported at Houston. Weather-related incident.,False,True,1,71W773AFN4YZ5MWFM,Toyota,Prius,2024.0,THH160,False
CLM-2026-000053,POL-2023-191,CLM-1513,Lisa Taylor,Ruitschade,2126.49,2084.34,2025-11-04,2025-10-21,2026-01-03,CLOSED,"WA City, WA",WA,Ruitschade incident reported at WA City. Single vehicle incident.,True,False,2,,,,,,True
CLM-2026-000054,POL-2021-007,CLM-1056,Anthony White,Auto Accident,7173.87,,2024-03-06,2024-03-05,,DENIED,"MO City, MO",MO,Auto Accident incident reported at MO City. Multiple vehicles involved.,True,True,3,E8AKJ8B7NF5NXWSNM,Volkswagen,Tiguan,2018.0,YJF236,True
CLM-2026-000055,POL-2024-895,CLM-852,Karen Clark,Vandalism,8343.23,,2023-05-29,2023-05-17,,PENDING,"IN City, IN",IN,Vandalism incident reported at IN City. Single vehicle incident.,True,False,2,,,,,,False
CLM-2026-000056,POL-2020-957,CLM-522,Matthew Harris,Auto Collision,11745.04,10689.34,2026-01-10,2025-12-30,2026-01-26,APPROVED,"CT City, CT",CT,Auto Collision incident reported at CT City. Single vehicle incident.,False,True,3,DSSZMDZCVWCNMHMB5,Nissan,Altima,2019.0,NNS328,False
CLM-2026-000057,POL-2020-033,CLM-1380,Karen Brown,Major Collision,42637.52,31830.46,2023-08-29,2023-08-21,2023-10-04,APPROVED,"Houston, TX",TX,Major Collision incident reported at Houston. Significant damage to vehicle.,True,True,1,72KENV81EHRS4Z7XK,Mercedes,S-Class,2015.0,PUV342,False
CLM-2026-000058,POL-2023-049,CLM-847,Thomas Martinez,Ruitschade,1890.99,1423.05,2024-05-04,2024-04-30,2024-07-25,APPROVED,"TN City, TN",TN,Ruitschade incident reported at TN City. Single vehicle incident.,True,False,0,,,,,,False
CLM-2026-000059,POL-2022-980,CLM-1380,Karen Brown,Personal Injury,101374.68,77562.27,2025-10-30,2025-10-17,2026-01-20,APPROVED,"Houston, TX",TX,Personal Injury incident reported at Houston. Significant damage to vehicle.,True,True,1,,,,,,False
CLM-2026-000060,POL-2023-584,CLM-1519,James Lewis,Hail Damage,11080.17,8737.35,2025-03-13,2025-03-13,2025-06-02,APPROVED,"UT City, UT",UT,Hail Damage incident reported at UT City. Minor damage reported.,True,True,1,,,,,,False
CLM-2026-000061,POL-2025-500,CLM-1449,Elizabeth Ramirez,Property Theft,2753.05,2453.84,2025-03-02,2025-03-02,2025-05-06,APPROVED,"OR City, OR",OR,Property Theft incident reported at OR City. Minor damage reported.,True,True,0,,,,,,False
CLM-2026-000062,POL-2025-176,CLM-1339,Sarah Rodriguez,Comprehensive,8514.17,,2025-11-03,2025-11-02,,DENIED,"KY City, KY",KY,Comprehensive incident reported at KY City. Minor damage reported.,False,True,1,,,,,,True
CLM-2026-000063,POL-2025-742,CLM-613,Robert Rodriguez,Vandalism,9016.99,7209.25,2025-02-16,2025-02-07,2025-04-13,APPROVED,"AL City, AL",AL,Vandalism incident reported at AL City. Parking lot incident.,True,True,1,,,,,,False
CLM-2026-000064,POL-2021-090,CLM-316,Karen Lewis,Auto Collision,23688.09,19742.15,2023-11-05,2023-10-31,2023-11-23,APPROVED,"NJ City, NJ",NJ,Auto Collision incident reported at NJ City. Single vehicle incident.,True,True,1,JG32JKSV0DSPJZ8HN,Ford,Mustang,2022.0,EGG249,False
CLM-2026-000065,POL-2021-312,CLM-1603,Anthony Wilson,Personal Injury,94504.99,82988.79,2025-08-06,2025-08-01,2025-09-13,APPROVED,"Erie, PA",PA,Personal Injury incident reported at Erie. Weather-related incident.,False,True,0,,,,,,False
CLM-2026-000066,POL-2025-071,CLM-410,John Johnson,Personal Injury,70320.09,64167.79,2025-01-12,2025-01-02,2025-01-22,SETTLED,"IN City, IN",IN,Personal Injury incident reported at IN City. Weather-related incident.,True,True,1,,,,,,False
CLM-2026-000067,POL-2024-595,CLM-1322,Anthony Jackson,Auto Accident,2295.34,1784.91,2023-10-22,2023-10-10,2023-12-23,APPROVED,"IN City, IN",IN,Auto Accident incident reported at IN City. Multiple vehicles involved.,True,False,0,CFNN4ZF9X2URBBSHB,Kia,Optima,2022.0,CSL168,False
CLM-2026-000068,POL-2021-817,CLM-1328,Betty Ramirez,Fire Damage,43146.11,32275.05,2025-06-06,2025-05-27,2025-07-14,SETTLED,"OR City, OR",OR,Fire Damage incident reported at OR City. Minor damage reported.,True,True,1,,,,,,False
CLM-2026-000069,POL-2024-605,CLM-713,Lisa Clark,Auto Theft,33480.84,,2024-01-29,2024-01-16,,DENIED,"AZ City, AZ",AZ,Auto Theft incident reported at AZ City. Weather-related incident.,True,True,1,3A6NGD4C6LNMZJG4A,Toyota,Corolla,2020.0,LBJ109,False
CLM-2026-000070,POL-2020-579,CLM-1036,Elizabeth Thompson,Comprehensive,10797.06,,2023-04-04,2023-03-29,,UNDER_REVIEW,"MA City, MA",MA,Comprehensive incident reported at MA City. Multiple vehicles involved.,True,False,1,,,,,,False
CLM-2026-000071,POL-2022-882,CLM-1766,Betty Garcia,Liability,82129.45,62661.77,2025-07-18,2025-07-11,2025-08-09,CLOSED,"San Francisco, CA",CA,Liability incident reported at San Francisco. Parking lot incident.,True,False,0,,,,,,False
CLM-2026-000072,POL-2023-078,CLM-660,Barbara Taylor,Water Damage,7402.52,6586.17,2024-08-29,2024-08-17,2024-10-25,SETTLED,"Columbus, OH",OH,Water Damage incident reported at Columbus. Multiple vehicles involved.,True,True,1,,,,,,False
CLM-2026-000073,POL-2023-208,CLM-1832,Nancy Harris,Auto Collision,4857.46,4650.02,2025-09-28,2025-09-28,2025-12-02,APPROVED,"CO City, CO",CO,Auto Collision incident reported at CO City. Significant damage to vehicle.,False,False,1,VV3B2MM1LPRE3372K,Ford,Explorer,2017.0,NLA451,False
CLM-2026-000074,POL-2025-694,CLM-979,Mary Rodriguez,Auto Accident,10773.84,10389.18,2025-08-16,2025-08-13,2025-09-05,APPROVED,"WI City, WI",WI,Auto Accident incident reported at WI City. Parking lot incident.,True,True,2,JL5B7RXLE7W44RBET,Ford,F-150,2023.0,GQG715,True
CLM-2026-000075,POL-2020-803,CLM-055,Charles Martinez,Fire Damage,45842.84,,2024-05-01,2024-04-28,,DENIED,"CO City, CO",CO,Fire Damage incident reported at CO City. Single vehicle incident.,True,True,2,,,,,,False
CLM-2026-000076,POL-2020-524,CLM-868,Anthony Wilson,Fire Damage,127048.94,,2023-10-06,2023-10-05,,PENDING,"Detroit, MI",MI,Fire Damage incident reported at Detroit. Parking lot incident.,False,True,2,,,,,,False
CLM-2026-000077,POL-2022-537,CLM-531,Jennifer Jackson,Personal Injury,133189.38,124056.46,2025-02-03,2025-01-29,2025-03-16,APPROVED,"Akron, OH",OH,Personal Injury incident reported at Akron. Single vehicle incident.,True,False,2,,,,,,False
CLM-2026-000078,POL-2022-123,CLM-460,Sandra Sanchez,Personal Injury,49350.4,,2024-03-20,2024-03-17,,DENIED,"MD City, MD",MD,Personal Injury incident reported at MD City. Single vehicle incident.,False,True,0,,,,,,False
CLM-2026-000079,POL-2022-107,CLM-049,Susan Clark,Property Theft,1042.4,935.23,2024-09-23,2024-09-15,2024-10-01,APPROVED,"TN City, TN",TN,Property Theft incident reported at TN City. Parking lot incident.,True,True,2,,,,,,False
CLM-2026-000080,POL-2020-160,CLM-1704,Michael Gonzalez,Major Collision,19481.25,,2024-03-13,2024-03-08,,DENIED,"MD City, MD",MD,Major Collision incident reported at MD City. Single vehicle incident.,False,True,3,FDHY6A835NUN1UA38,Toyota,Corolla,2022.0,JNR366,False
CLM-2026-000081,POL-2021-134,CLM-1139,Christopher Perez,Liability,80411.93,,2024-08-13,2024-08-12,,DENIED,"Sterling Heights, MI",MI,Liability incident reported at Sterling Heights. Significant damage to vehicle.,True,True,0,,,,,,False
CLM-2026-000082,POL-2024-491,CLM-564,Matthew Anderson,Hail Damage,9668.47,7480.84,2024-06-18,2024-06-11,2024-06-29,CLOSED,"MO City, MO",MO,Hail Damage incident reported at MO City. Weather-related incident.,True,False,1,,,,,,False
CLM-2026-000083,POL-2024-867,CLM-477,Barbara Hernandez,Property Damage,28083.41,26324.58,2025-02-14,2025-02-13,2025-03-23,APPROVED,"Chicago, IL",IL,Property Damage incident reported at Chicago. Multiple vehicles involved.,True,True,2,,,,,,False
CLM-2026-000084,POL-2024-882,CLM-1469,Matthew Thomas,Auto Collision,2504.0,2193.46,2025-01-21,2025-01-07,2025-03-10,SETTLED,"WI City, WI",WI,Auto Collision incident reported at WI City. Weather-related incident.,True,True,3,PMKBAZREMGAPJWLBM,BMW,3 Series,2020.0,VJT401,False
CLM-2026-000085,POL-2024-107,CLM-802,Lisa Davis,Ruitschade,2060.26,,2025-11-02,2025-10-31,,PENDING,"MA City, MA",MA,Ruitschade incident reported at MA City. Single vehicle incident.,False,True,1,,,,,,False
CLM-2026-000086,POL-2022-975,CLM-1616,Mary Brown,Liability,85347.44,,2024-10-03,2024-10-01,,DENIED,"OK City, OK",OK,Liability incident reported at OK City. Single vehicle incident.,True,True,0,,,,,,False
CLM-2026-000087,POL-2021-100,CLM-1171,Richard Taylor,Comprehensive,1770.61,1677.07,2023-04-08,2023-04-06,2023-04-15,APPROVED,"AZ City, AZ",AZ,Comprehensive incident reported at AZ City. Weather-related incident.,True,True,1,,,,,,False
CLM-2026-000088,POL-2021-488,CLM-466,Charles Smith,Comprehensive,14501.6,13140.2,2025-09-16,2025-09-03,2025-11-28,APPROVED,"MD City, MD",MD,Comprehensive incident reported at MD City. Minor damage reported.,True,True,2,,,,,,False
CLM-2026-000089,POL-2024-536,CLM-795,Daniel Davis,Fire Damage,97049.86,93365.84,2023-10-23,2023-10-15,2023-12-04,APPROVED,"TN City, TN",TN,Fire Damage incident reported at TN City. Parking lot incident.,False,True,0,,,,,,False
CLM-2026-000090,POL-2025-101,CLM-974,Susan Anderson,Medical,59627.08,47301.26,2024-07-18,2024-07-04,2024-09-06,APPROVED,"Buffalo, NY",NY,Medical incident reported at Buffalo. Minor damage reported.,True,False,0,,,,,,False
CLM-2026-000091,POL-2025-946,CLM-511,Charles Perez,Personal Injury,31468.25,25505.19,2025-11-06,2025-10-30,2025-12-29,APPROVED,"CO City, CO",CO,Personal Injury incident reported at CO City. Single vehicle incident.,False,False,1,,,,,,False
CLM-2026-000092,POL-2025-282,CLM-1867,Matthew Lopez,Major Collision,30143.43,28380.81,2025-04-20,2025-04-10,2025-04-28,APPROVED,"Columbus, GA",GA,Major Collision incident reported at Columbus. Minor damage reported.,True,True,2,F79HLK0ZYUJK9NFB9,Mercedes,GLC,2020.0,IHR767,False
CLM-2026-000093,POL-2023-398,CLM-1650,Mary Jackson,Personal Injury,5767.38,4897.73,2023-10-11,2023-10-01,2023-11-04,APPROVED,"MO City, MO",MO,Personal Injury incident reported at MO City. Multiple vehicles involved.,True,True,2,,,,,,False
CLM-2026-000094,POL-2024-967,CLM-862,James Perez,Water Damage,34346.13,28890.62,2024-03-03,2024-02-27,2024-04-16,APPROVED,"AZ City, AZ",AZ,Water Damage incident reported at AZ City. Weather-related incident.,True,True,2,,,,,,False
CLM-2026-000095,POL-2023-005,CLM-1566,Jessica Lee,Auto Theft,26506.79,23592.27,2025-02-22,2025-02-15,2025-03-12,SETTLED,"IN City, IN",IN,Auto Theft incident reported at IN City. Single vehicle incident.,False,False,1,RYWRH00R7VA3GA21Y,Honda,Odyssey,2018.0,LNN544,False
CLM-2026-000096,POL-2020-604,CLM-736,Anthony Sanchez,Auto Collision,7253.62,6659.92,2024-12-18,2024-12-16,2025-02-14,CLOSED,"CO City, CO",CO,Auto Collision incident reported at CO City. Parking lot incident.,True,True,1,CM1V8H1ZMM0NDCJF5,Hyundai,Sonata,2016.0,SQH777,False
CLM-2026-000097,POL-2021-624,CLM-281,Sarah Martin,Personal Injury,93419.3,73316.59,2023-09-14,2023-09-01,2023-11-25,CLOSED,"MA City, MA",MA,Personal Injury incident reported at MA City. Minor damage reported.,False,True,1,,,,,,False
CLM-2026-000098,POL-2020-010,CLM-1666,Michael Sanchez,Property Theft,24246.29,19247.0,2025-01-26,2025-01-13,2025-03-11,APPROVED,"Albany, NY",NY,Property Theft incident reported at Albany. Single vehicle incident.,False,True,1,,,,,,False
CLM-2026-000099,POL-2023-943,CLM-372,Elizabeth Jones,Medical,51492.58,48998.33,2023-12-02,2023-11-20,2023-12-12,APPROVED,"Cleveland, OH",OH,Medical incident reported at Cleveland. Parking lot incident.,True,False,0,,,,,,False
CLM-2026-000100,POL-2022-052,CLM-1914,David Jones,Medical,12822.59,11866.4,2025-02-26,2025-02-18,2025-05-07,SETTLED,"AZ City, AZ",AZ,Medical incident reported at AZ City. Minor damage reported.,True,True,1,,,,,,False
CLM-2026-000101,POL-2025-373,CLM-1673,Richard Williams,Fire Damage,155809.12,,2024-10-19,2024-10-06,,DENIED,"CO City, CO",CO,Fire Damage incident reported at CO City. Parking lot incident.,True,True,0,,,,,,False
CLM-2026-000102,POL-2024-754,CLM-1716,Thomas Clark,Vandalism,6098.5,5191.4,2025-05-10,2025-04-28,2025-07-14,CLOSED,"SC City, SC",SC,Vandalism incident reported at SC City. Weather-related incident.,True,True,2,,,,,,False
CLM-2026-000103,POL-2025-298,CLM-613,Robert Rodriguez,Fire Damage,130190.82,,2024-04-14,2024-04-03,,UNDER_REVIEW,"AL City, AL",AL,Fire Damage incident reported at AL City. Multiple vehicles involved.,False,True,0,,,,,,False
